Participant;Category;Device;Order;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Point1;Point1;Point1;Point1;Point1;Point1;Point1;Point1;Point2;Point2;Point2;Point2;Point2;Point2;Point2;Point2;Point3;Point3;Point3;Point3;Point3;Point3;Point3;Point3;Point4;Point4;Point4;Point4;Point4;Point4;Point4;Point4
;;;;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out
P36;01-Beginner;Smartphone;Smartphone-Desktop;;;;2;1;;2;;;1;1;8;1;;3;3;;1;2;3;;;2;;1;1;19;8;12;1;;1;1;4;1;4;1;;;;;4;;;3;;;1;1;8;;;3;1;5;;1;3;;5;1;;6;;1;3;;1;1;
P37;01-Beginner;Smartphone;Desktop-Smartphone;;;;7;3;;4;1;;;;19;12;;7;4;;;;29;9;;5;3;;;22;6;;3;3;;;10;9;;1;;;;;3;1;;2;;;;;5;;;2;;;;;24;;;3;1;;;;55;2;;3;1
P38;01-Beginner;Smartphone;Smartphone-Desktop;;;;5;3;;3;;;;;2;2;;2;;;;;16;6;;3;1;;;37;14;;3;2;;;42;19;;4;2;;;;3;2;;2;;;;;13;6;;2;;;;;19;3;;2;;;;;30;3;;2;
P39;01-Beginner;Smartphone;Desktop-Smartphone;;1;1;1;;;1;;2;2;2;6;1;1;2;;;;;6;;;1;;;1;10;1;18;;;;1;1;;11;;;;;;5;;;2;;;;;12;1;;2;;;;;10;;;2;;;;;16;1;;3;
P40;01-Beginner;Smartphone;Smartphone-Desktop;2;;2;2;2;1;;;;1;1;10;2;;4;1;;3;1;4;1;;;;;;14;2;;2;1;;;9;5;;1;;;;;5;5;;2;;;;;8;1;;2;;;;;8;;;2;;;;;14;;;2;
P41;01-Beginner;Smartphone;Desktop-Smartphone;;;1;4;3;;2;;;1;1;5;6;;5;;;;1;10;2;;4;1;;1;18;2;8;1;;1;1;17;6;2;1;;;;;9;;;3;1;;1;1;23;;;5;2;;1;1;16;;;2;;;2;2;14;;;2;
P42;01-Beginner;Smartphone;Smartphone-Desktop;;;1;8;2;;1;;;1;1;14;2;;1;;;;1;22;4;;2;1;1;1;38;9;5;3;2;1;2;73;18;1;7;5;;1;1;12;;;2;;;;;12;;;2;;5;1;1;4;;;2;1;4;1;1;4;;;1;
P43;01-Beginner;Smartphone;Desktop-Smartphone;;;;2;4;;;;;1;1;5;1;;1;;;;;11;5;;;;;;18;8;;;;;;21;7;;1;;;;;7;;;2;;;;;9;1;;2;;;;;13;;;3;1;4;;1;3;;;1;
P08;02-Intermediate;Smartphone;Smartphone-Desktop;;;;12;;;3;3;;1;1;1;;;1;;;1;1;1;;;1;;1;2;;;9;;;;1;9;;9;1;;;;;9;1;;3;1;;;;11;;;1;;;;;17;;;2;;;;;11;;;2;
P09;02-Intermediate;Smartphone;Desktop-Smartphone;;;1;5;2;;2;;;;;5;4;;1;;;;1;5;3;;1;;;1;14;5;9;2;2;1;2;12;2;5;1;;;;;5;2;;2;;;;;13;;;2;;;;;12;;;2;;;;;15;;;2;
